shipment_id,bol_weight,inv_value,pl_weight,weight_diff,has_anomaly
SHIP-2026-0001,666,15783,666,0,0
SHIP-2026-0002,3088,46972,2916,172,1
SHIP-2026-0003,2404,5108,2404,0,0
SHIP-2026-0004,4186,37868,4186,0,0
SHIP-2026-0005,1008,12960,1008,0,0
SHIP-2026-0006,831,41688,831,0,0
SHIP-2026-0007,1314,19915,1314,0,0
SHIP-2026-0008,2995,29614,2995,0,0
SHIP-2026-0009,1405,39793,1405,0,0
SHIP-2026-0010,3754,17223,3581,173,1
SHIP-2026-0011,1988,17573,1988,0,0
SHIP-2026-0012,3618,25080,3538,80,1
SHIP-2026-0013,4677,28350,4677,0,0
SHIP-2026-0014,617,32031,617,0,0
SHIP-2026-0015,4256,37566,4083,173,1
SHIP-2026-0016,773,7728,674,99,1
SHIP-2026-0017,4728,32476,4728,0,0
SHIP-2026-0018,1052,37303,1052,0,0
SHIP-2026-0019,4633,38619,4633,0,0
SHIP-2026-0020,1136,41030,1136,0,0
SHIP-2026-0021,4607,21568,4607,0,0
SHIP-2026-0022,2659,42863,2659,0,0
SHIP-2026-0023,2163,38502,2163,0,0
SHIP-2026-0024,3270,45360,3270,0,0
SHIP-2026-0025,4498,24370,4498,0,0
SHIP-2026-0026,1579,29511,1579,0,0
SHIP-2026-0027,3741,6928,3668,73,1
SHIP-2026-0028,467,37708,326,141,1
SHIP-2026-0029,3828,9320,3828,0,0
SHIP-2026-0030,2147,25341,2147,0,0
